city,state,month,year,supply_score,demand_score,median_listing_price_yy,median_days_on_market_yy,unique_viewers_per_property_yy,mortgage_rate,date,date_month_num,hotness_rank_yy,hotness_rank,class,city_state,latitude,longitude
tulsa,ok,July,2021,58.14838301,66.07482562,0.165501166,-0.444444444,0.648648649,2.18,2021-07-01,7,283,460,2,"tulsa, ok",36.05566,-96.060229
goldsboro,nc,July,2021,70.7038681,61.88966392,0.063859981,-0.340425532,0.380952381,2.18,2021-07-01,7,-75,378,0,"goldsboro, nc",35.382585,-78.015813
chambersburg,pa,July,2021,42.23208624,44.00760938,0.039933444,-0.242718447,0.0681818179999999,2.18,2021-07-01,7,-620,979,2,"chambersburg, pa",39.931318,-77.657928
albertville,al,July,2021,66.70894103,53.26569436,0.195293146,-0.56462585,0.892857143,2.18,2021-07-01,7,618,516,3,"albertville, al",34.273859,-86.206447
virginia beach,va,July,2021,95.94166138,5.516804058,0.069551058,-0.375,0.055555556,2.18,2021-07-01,7,-70,762,3,"virginia beach, va",36.8527,-75.9783
sebring,fl,July,2021,41.15409004,36.9055168,0.287888994,-0.487179487,0.791666667,2.18,2021-07-01,7,194,1065,1,"sebring, fl",27.492391,-81.435712
miami,fl,July,2021,13.82371592,6.214331007999999,0.130298273,-0.46,0.727272727,2.18,2021-07-01,7,18,1488,1,"miami, fl",25.779,-80.1982
bremerton,wa,July,2021,78.31325301,15.59923906,0.130113011,-0.216216216,0.304347826,2.18,2021-07-01,7,-258,871,3,"bremerton, wa",47.601916,-122.629913
taos,nm,July,2021,6.4045656310000005,27.96448954,0.1035294119999999,-0.516014235,0.407407407,2.18,2021-07-01,7,-17,1409,1,"taos, nm",36.395288,-105.584732
opelousas,la,July,2021,5.707038681,14.2675967,0.097522734,-0.501754386,1.071428571,2.18,2021-07-01,7,51,1489,1,"opelousas, la",30.51442,-92.089668
roanoke rapids,nc,July,2021,15.02853519,82.68864933,0.350574713,-0.566666667,0.070422535,2.18,2021-07-01,7,-46,822,2,"roanoke rapids, nc",36.446146,-77.67306
seneca,sc,July,2021,35.1934052,74.88902979999999,0.079536434,-0.557894737,0.7,2.18,2021-07-01,7,376,644,2,"seneca, sc",34.7347,-82.9482
brenham,tx,July,2021,42.23208624,69.68928345,0.046598555,-0.628571429,1.064516129,2.18,2021-07-01,7,621,620,2,"brenham, tx",30.17736,-96.402769
greeley,co,July,2021,82.37159163,26.88649334,0.108165423,-0.333333333,0.85,2.18,2021-07-01,7,88,656,3,"greeley, co",40.413968,-104.704756
minneapolis,mn,July,2021,20.54533925,49.71464807,0.206460401,0.113636364,-0.215384615,2.18,2021-07-01,7,-1051,1131,2,"minneapolis, mn",45.049582,-93.246095
portland,or,July,2021,62.84083703,14.83830057,0.2217194569999999,-0.298969072,0.705882353,2.18,2021-07-01,7,-116,1067,3,"portland, or",45.442919,-122.615092
trenton,nj,July,2021,50.15852885,26.94990488,-0.117647059,-0.244897959,-0.0512820509999999,2.18,2021-07-01,7,-688,1074,3,"trenton, nj",40.2169,-74.7433
